# TYPE Total_Runtime gauge
# HELP Total_Runtime The amount of runtime each forecast takes, in minutes.
Total_Runtime 69.71386388665988 1655424000.0
Total_Runtime 71.71082341670446 1655445600.0
Total_Runtime 59.19901947825798 1655467200.0
Total_Runtime 57.307463964411205 1655488800.0
Total_Runtime 58.77444286003735 1655510400.0
Total_Runtime 57.60529269538408 1655532000.0
Total_Runtime 50.48106992961831 1655553600.0
Total_Runtime 60.6944091513128 1655575200.0
Total_Runtime 62.42414346085648 1655596800.0
Total_Runtime 57.91802610451128 1655618400.0
Total_Runtime 60.9437580475541 1655640000.0
Total_Runtime 52.61318481128541 1655661600.0
Total_Runtime 59.22194069363637 1655683200.0
Total_Runtime 56.37997529191646 1655704800.0
Total_Runtime 59.92812237672703 1655726400.0
Total_Runtime 59.886553418608386 1655748000.0
Total_Runtime 73.52115443118016 1655769600.0
Total_Runtime 62.07861594338666 1655791200.0
Total_Runtime 64.89393346715265 1655812800.0
Total_Runtime 57.18280569379575 1655834400.0
Total_Runtime 61.053495952928415 1655856000.0
Total_Runtime 62.91430656019627 1655877600.0
Total_Runtime 61.03836156073873 1655899200.0
Total_Runtime 58.83917992829639 1655920800.0
Total_Runtime 66.17606303811615 1655942400.0
Total_Runtime 55.68994286862151 1655964000.0
Total_Runtime 61.54086179984141 1655985600.0
Total_Runtime 61.79170465766569 1656007200.0
Total_Runtime 62.09272492041692 1656028800.0
Total_Runtime 66.63453094293708 1656050400.0
Total_Runtime 49.598399546509455 1656072000.0
Total_Runtime 62.7183233115718 1656093600.0
Total_Runtime 58.536839087208755 1656115200.0
Total_Runtime 63.40024062986115 1656136800.0
Total_Runtime 58.57250736243419 1656158400.0
Total_Runtime 65.44072108651281 1656180000.0
Total_Runtime 69.5469456189012 1656201600.0
Total_Runtime 57.94617514404981 1656223200.0
Total_Runtime 66.41968084290433 1656244800.0
Total_Runtime 63.97308701726643 1656266400.0
Total_Runtime 61.526868299383246 1656288000.0
Total_Runtime 54.09650010819734 1656309600.0
Total_Runtime 52.90085191084697 1656331200.0
Total_Runtime 58.65381928847464 1656352800.0
Total_Runtime 51.86763126116966 1656374400.0
Total_Runtime 60.61658658872043 1656396000.0
Total_Runtime 69.72349984489274 1656417600.0
Total_Runtime 64.02438056669291 1656439200.0
Total_Runtime 59.061494794130674 1656460800.0
Total_Runtime 63.028331846440366 1656482400.0
Total_Runtime 56.10001645533815 1656504000.0
Total_Runtime 77.20416531229255 1656525600.0
Total_Runtime 48.73731060361315 1656547200.0
Total_Runtime 65.93597861262876 1656568800.0
Total_Runtime 62.52293329409967 1656590400.0
Total_Runtime 60.44466850214898 1656612000.0
Total_Runtime 62.102163864684826 1656633600.0
Total_Runtime 60.54846454705963 1656655200.0
Total_Runtime 53.83160540847705 1656676800.0
Total_Runtime 46.7816784781744 1656698400.0
Total_Runtime 59.50282412634676 1656720000.0
Total_Runtime 54.75151886021545 1656741600.0
Total_Runtime 62.10130321957349 1656763200.0
Total_Runtime 65.78984355554405 1656784800.0
Total_Runtime 46.937055007475955 1656806400.0
Total_Runtime 59.96099497903526 1656828000.0
Total_Runtime 63.4418499127756 1656849600.0
Total_Runtime 40.05823790442979 1656871200.0
Total_Runtime 69.22869981141716 1656892800.0
Total_Runtime 38.95196251961208 1656914400.0
Total_Runtime 55.829446909004105 1656936000.0
Total_Runtime 63.175150190541444 1656957600.0
Total_Runtime 62.5674103371704 1656979200.0
Total_Runtime 44.87638031606412 1657000800.0
Total_Runtime 62.65979224568383 1657022400.0
Total_Runtime 62.84434407884523 1657044000.0
Total_Runtime 63.84363105017051 1657065600.0
Total_Runtime 50.292416442431886 1657087200.0
Total_Runtime 64.45107584023447 1657108800.0
Total_Runtime 55.74157046561915 1657130400.0
Total_Runtime 59.328556695316664 1657152000.0
Total_Runtime 67.21681555072414 1657173600.0
Total_Runtime 78.89407343570534 1657195200.0
Total_Runtime 65.42230625660831 1657216800.0
Total_Runtime 51.07935235959556 1657238400.0
Total_Runtime 66.60131931470474 1657260000.0
Total_Runtime 60.761242813948336 1657281600.0
Total_Runtime 59.634410330822774 1657303200.0
Total_Runtime 59.181712029255344 1657324800.0
Total_Runtime 43.12438216413855 1657346400.0
Total_Runtime 53.503578720340215 1657368000.0
Total_Runtime 58.83676798553495 1657389600.0
Total_Runtime 58.90995650885389 1657411200.0
Total_Runtime 59.646506031392725 1657432800.0
Total_Runtime 66.6825576729192 1657454400.0
Total_Runtime 59.03074601266126 1657476000.0
Total_Runtime 58.590033858923945 1657497600.0
Total_Runtime 61.89195919406877 1657519200.0
Total_Runtime 68.17330131606226 1657540800.0
Total_Runtime 57.636610133868245 1657562400.0
Total_Runtime 52.85079846391153 1657584000.0
Total_Runtime 60.213752802778345 1657605600.0
Total_Runtime 65.26498131403106 1657627200.0
Total_Runtime 46.5610086704421 1657648800.0
Total_Runtime 62.56397931901553 1657670400.0
Total_Runtime 55.79390560651658 1657692000.0
Total_Runtime 59.038876394114524 1657713600.0
Total_Runtime 51.844446998998755 1657735200.0
Total_Runtime 58.59553642888743 1657756800.0
Total_Runtime 49.446246680417005 1657778400.0
Total_Runtime 54.19139564472528 1657800000.0
Total_Runtime 68.73972569371486 1657821600.0
Total_Runtime 61.18572275061722 1657843200.0
Total_Runtime 49.22176310222949 1657864800.0
Total_Runtime 50.44254477293387 1657886400.0
Total_Runtime 56.8128336562802 1657908000.0
Total_Runtime 69.91791088245921 1657929600.0
Total_Runtime 45.22626287919473 1657951200.0
Total_Runtime 69.27412235059549 1657972800.0
Total_Runtime 61.09089286756648 1657994400.0
# TYPE Total_Runtime_data gauge
# HELP Total_Runtime_data Boolean of whether or not the data came in, as 0 or 1.
Total_Runtime_data 1 1655424000.0
Total_Runtime_data 1 1655445600.0
Total_Runtime_data 1 1655467200.0
Total_Runtime_data 1 1655488800.0
Total_Runtime_data 1 1655510400.0
Total_Runtime_data 0 1655532000.0
Total_Runtime_data 1 1655553600.0
Total_Runtime_data 1 1655575200.0
Total_Runtime_data 1 1655596800.0
Total_Runtime_data 1 1655618400.0
Total_Runtime_data 1 1655640000.0
Total_Runtime_data 1 1655661600.0
Total_Runtime_data 1 1655683200.0
Total_Runtime_data 1 1655704800.0
Total_Runtime_data 1 1655726400.0
Total_Runtime_data 0 1655748000.0
Total_Runtime_data 1 1655769600.0
Total_Runtime_data 1 1655791200.0
Total_Runtime_data 1 1655812800.0
Total_Runtime_data 1 1655834400.0
Total_Runtime_data 1 1655856000.0
Total_Runtime_data 1 1655877600.0
Total_Runtime_data 1 1655899200.0
Total_Runtime_data 1 1655920800.0
Total_Runtime_data 1 1655942400.0
Total_Runtime_data 1 1655964000.0
Total_Runtime_data 1 1655985600.0
Total_Runtime_data 1 1656007200.0
Total_Runtime_data 1 1656028800.0
Total_Runtime_data 1 1656050400.0
Total_Runtime_data 1 1656072000.0
Total_Runtime_data 1 1656093600.0
Total_Runtime_data 1 1656115200.0
Total_Runtime_data 1 1656136800.0
Total_Runtime_data 0 1656158400.0
Total_Runtime_data 1 1656180000.0
Total_Runtime_data 1 1656201600.0
Total_Runtime_data 1 1656223200.0
Total_Runtime_data 1 1656244800.0
Total_Runtime_data 1 1656266400.0
Total_Runtime_data 0 1656288000.0
Total_Runtime_data 1 1656309600.0
Total_Runtime_data 1 1656331200.0
Total_Runtime_data 0 1656352800.0
Total_Runtime_data 1 1656374400.0
Total_Runtime_data 1 1656396000.0
Total_Runtime_data 1 1656417600.0
Total_Runtime_data 1 1656439200.0
Total_Runtime_data 1 1656460800.0
Total_Runtime_data 1 1656482400.0
Total_Runtime_data 1 1656504000.0
Total_Runtime_data 1 1656525600.0
Total_Runtime_data 1 1656547200.0
Total_Runtime_data 1 1656568800.0
Total_Runtime_data 1 1656590400.0
Total_Runtime_data 1 1656612000.0
Total_Runtime_data 1 1656633600.0
Total_Runtime_data 1 1656655200.0
Total_Runtime_data 1 1656676800.0
Total_Runtime_data 1 1656698400.0
Total_Runtime_data 1 1656720000.0
Total_Runtime_data 1 1656741600.0
Total_Runtime_data 1 1656763200.0
Total_Runtime_data 1 1656784800.0
Total_Runtime_data 1 1656806400.0
Total_Runtime_data 1 1656828000.0
Total_Runtime_data 1 1656849600.0
Total_Runtime_data 1 1656871200.0
Total_Runtime_data 0 1656892800.0
